Row Index,Column Index,Down/Across,Answer,Clue
0,1,A,BRB,"""I'll return soon,"" in texting shorthand"
0,1,D,BROOD,"Sulk"
0,2,D,RANON,"Used as a campaign talking point"
0,3,D,BUZZY,"Like happening restaurants"
1,0,A,KRAUT,"""Sauer"" condiment"
1,4,D,TOY,"Happy Meal inclusion"
2,0,A,GONZO,"Muppet with a long, hooked beak"
3,0,A,BOOZY,"Drunken, as a brunch"
4,1,A,DNY,"Letters beside Chuck Schumer's name"
